epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
18,1566.43,0.57718,0.36401,0.89133,0.99229,0.96964,0.99212,0.87093,0.49847,0.27715,0.84224,0.0016634,0.0016634,0.0016634
19,1654.13,0.58679,0.35695,0.89158,0.99631,0.96428,0.99345,0.883,0.49885,0.28205,0.84824,0.0016436,0.0016436,0.0016436
20,1745.5,0.57213,0.35467,0.89163,0.99104,0.97143,0.99397,0.88296,0.48248,0.26954,0.8407,0.0016238,0.0016238,0.0016238
21,1832.79,0.57192,0.35173,0.88894,0.99089,0.971,0.99208,0.88227,0.48062,0.28652,0.83775,0.001604,0.001604,0.001604
22,1920.73,0.57202,0.34238,0.88854,0.99633,0.96872,0.99377,0.88157,0.48468,0.26592,0.84126,0.0015842,0.0015842,0.0015842
23,2008.34,0.5729,0.33973,0.8867,0.98904,0.96688,0.99295,0.87626,0.49384,0.28377,0.84363,0.0015644,0.0015644,0.0015644
24,2097.22,0.54889,0.3295,0.88464,0.98559,0.975,0.99239,0.88155,0.49413,0.26974,0.84405,0.0015446,0.0015446,0.0015446
25,2184.52,0.55626,0.33312,0.88623,0.98008,0.97857,0.99349,0.88206,0.47918,0.26296,0.84028,0.0015248,0.0015248,0.0015248
26,2270.32,0.55243,0.33212,0.88646,0.98848,0.975,0.99162,0.88012,0.4912,0.27201,0.84469,0.001505,0.001505,0.001505
27,2355.94,0.55187,0.32957,0.88656,0.99208,0.96607,0.99228,0.88546,0.47588,0.26982,0.83545,0.0014852,0.0014852,0.0014852
28,2442.68,0.54252,0.32656,0.88239,0.98293,0.97857,0.99418,0.8832,0.47438,0.26921,0.83363,0.0014654,0.0014654,0.0014654
29,2530.53,0.54208,0.32503,0.87837,0.98754,0.97679,0.9943,0.89364,0.46773,0.25396,0.83452,0.0014456,0.0014456,0.0014456
30,2619.41,0.54619,0.32564,0.88076,0.97913,0.98393,0.99423,0.88645,0.4792,0.25607,0.83554,0.0014258,0.0014258,0.0014258
31,2705.59,0.54824,0.32543,0.88112,0.98984,0.97321,0.99374,0.88361,0.48056,0.25039,0.8406,0.001406,0.001406,0.001406
32,2792.07,0.54675,0.32173,0.87675,0.99451,0.96996,0.99384,0.88781,0.46962,0.25273,0.83737,0.0013862,0.0013862,0.0013862
33,2879,0.53382,0.31799,0.87568,0.98761,0.97321,0.99419,0.88767,0.46253,0.24088,0.83005,0.0013664,0.0013664,0.0013664
34,2964.45,0.53964,0.31682,0.88353,0.981,0.97321,0.99371,0.88485,0.46724,0.25662,0.83329,0.0013466,0.0013466,0.0013466
35,3051.3,0.54406,0.31827,0.88157,0.98386,0.97982,0.99403,0.89106,0.46308,0.24756,0.83306,0.0013268,0.0013268,0.0013268
36,3136.66,0.53895,0.3131,0.87735,0.98786,0.97321,0.99328,0.89126,0.46388,0.24252,0.83331,0.001307,0.001307,0.001307
37,3221.9,0.53602,0.31224,0.87654,0.97727,0.98571,0.99438,0.89194,0.45566,0.24154,0.82977,0.0012872,0.0012872,0.0012872
38,3306.95,0.53095,0.30562,0.87756,0.9838,0.98214,0.9944,0.89233,0.46014,0.23589,0.83514,0.0012674,0.0012674,0.0012674
39,3391.88,0.53076,0.30947,0.87547,0.98466,0.975,0.99354,0.8878,0.46109,0.24476,0.8326,0.0012476,0.0012476,0.0012476
40,3477.69,0.52624,0.30635,0.87561,0.98387,0.98007,0.99353,0.89139,0.46146,0.24787,0.83272,0.0012278,0.0012278,0.0012278
41,3562.82,0.52596,0.30357,0.87565,0.98564,0.98034,0.99388,0.89053,0.45413,0.23538,0.82998,0.001208,0.001208,0.001208
